Contract Address,Balance (OP),Contract Type
0x7f0c483EF7FaEE2417F2E5C7DC3AB646d0C975ea,13.0,Gnosis Safe Proxy
0xd0e5044Bf3aAd9fd67A7A6cfc58B1be3a02AddCf,24.9,Vault Contract
0x87B2a6e71a2100c5645697c5D46eeeF2E4B34A5e,8.459144747,Other
0x990e4f8a73F6Dc7975f4cc7BAEb4Cfb08af0C77a,1.3333617,Gnosis Safe Proxy
0x2D6743160AB3038aF12C6a6B605C683bc9e4f0B6,3.5711662449863977,ERC20 Token
0xa438417D997b04BD01BE186D8eC537B6F39014db,36.4,Vault Contract
0x2bBA48FF92e88B73f6110C4aE238185Dd554525F,2.7426378176420343,Other
0x518e162e985516CF4983c2A2afb645c49B5a6C7b,122.55321479999999,Other
0x0dDc008817004f8d04F1bB556F09572BA947fa58,45.5,Vault Contract
0x7Af14ADc8Aea70f063c7eA3B2C1AD0D7A59C4bFf,17.464380053559626,Other
0x5418e67cbDB14eEC0515Ac2650A98C126E3620D5,4.73564,Other
0x15Ff869FFaEC7cD3e14f4fF1e8b7C58142EeB6e3,5.79638198,Gnosis Safe Proxy
0xbe3d923D132546B22271a8603E95497d9789F012,5003.2261371029945,Gnosis Safe Proxy
0x85AEa5c2B9748829A2cec89e069C1071843D75ca,41.625,Other
0x4F9bB9c19E06884330963355Aa865608f7479CA3,371.48421134042314,Other
0x5c2438845B834098A8c75b76A80a350a0BA9b8ba,4.018369589909033,Other
0x0fE419b0E9f59C231c531BF91cECF9459Da5F1C7,4.70754678032,Other
0x16da41005E8Ae6347Cb0d10499d5000271D408BD,1.153678507,Other
0x2CF932434Dc89F27606F8d72a2f9D2a72c309c5A,4.014299153189121,ERC20 Token
0xE71113F4FF26C5ADb0e58Acfd6B86D702Ef57cb0,3.3138,Other
0x5F9914524253Ab12c4d108910a14F3F42bE29795,221.0,Vault Contract
